codigo_con,ade,data,tempo
408190,,20/7/2020,10:18:18
codigo_con,ade,data,tempo
408177,,20/7/2020,10:22:22
codigo_con,ade,data,tempo
408279,,20/7/2020,10:41:41
codigo_con,ade,data,tempo
409508,,24/7/2020,12:7:7
codigo_con,ade,data,tempo
409846,,27/7/2020,12:3:3
codigo_con,ade,data,tempo
409950,,27/7/2020,14:0:0
codigo_con,ade,data,tempo
409778,,27/7/2020,14:31:31
codigo_con,ade,data,tempo
450505,,15/3/2021,14:53:53
codigo_con,ade,data,tempo
450555,,15/3/2021,17:59:59
codigo_con,ade,data,tempo
450368,,15/3/2021,18:10:10
codigo_con,ade,data,tempo
450335,,15/3/2021,18:17:17
codigo_con,ade,data,tempo
450553,,15/3/2021,18:23:23
